Stock Index / Bond-related Instrument,Stock Index,Time,Log Monthly Return,Volume
Nikkei 225,^N225,2015-01,,2691500000
Nikkei 225,^N225,2015-02,0.061630525745463065,2975400000
Nikkei 225,^N225,2015-03,0.021527027209838876,3191800000
Nikkei 225,^N225,2015-04,0.01616579379133471,3047400000
Nikkei 225,^N225,2015-05,0.05206057669159706,3291500000
Nikkei 225,^N225,2015-06,-0.01605078101725351,3459500000
Nikkei 225,^N225,2015-07,0.017124448567138486,3318200000
Nikkei 225,^N225,2015-08,-0.08591620923981662,3723100000
Nikkei 225,^N225,2015-09,-0.08286915408124318,3132300000
Nikkei 225,^N225,2015-10,0.09301414395415988,2979600000
Nikkei 225,^N225,2015-11,0.03422231133389695,2559500000
Nikkei 225,^N225,2015-12,-0.03681375058633038,2749100000
Nikkei 225,^N225,2016-01,-0.08296557346204535,3235900000
Nikkei 225,^N225,2016-02,-0.08898628288789673,4174100000
Nikkei 225,^N225,2016-03,0.044655921089562005,3307500000
Nikkei 225,^N225,2016-04,-0.005541968682503239,3230600000
Nikkei 225,^N225,2016-05,0.033567303784138074,2563800000
Nikkei 225,^N225,2016-06,-0.10121493980226821,3093000000
Nikkei 225,^N225,2016-07,0.06182361972152473,2816900000
Nikkei 225,^N225,2016-08,0.019018058204687847,2675600000
Nikkei 225,^N225,2016-09,-0.02625206363859829,2493200000
Nikkei 225,^N225,2016-10,0.05759133629940165,2222800000
Nikkei 225,^N225,2016-11,0.04945728857621523,3226000000
Nikkei 225,^N225,2016-12,0.0430759971386252,3038700000
Nikkei 225,^N225,2017-01,-0.003827966403755183,2440400000
Nikkei 225,^N225,2017-02,0.00406969738675233,2606300000
Nikkei 225,^N225,2017-03,-0.011030357443039585,2646000000
Nikkei 225,^N225,2017-04,0.015088748383999913,2178500000
Nikkei 225,^N225,2017-05,0.02336587627105478,2230200000
Nikkei 225,^N225,2017-06,0.019296001122674187,2326500000
Nikkei 225,^N225,2017-07,-0.005418119724825718,1790600000
Nikkei 225,^N225,2017-08,-0.01409825949379386,1876000000
Nikkei 225,^N225,2017-09,0.03550344591418521,1807500000
Nikkei 225,^N225,2017-10,0.07818058378863862,1872800000
Nikkei 225,^N225,2017-11,0.031893908102303345,1981200000
Nikkei 225,^N225,2017-12,0.0017576879955503264,1539000000
Nikkei 225,^N225,2018-01,0.014536939090519842,1606300000
Nikkei 225,^N225,2018-02,-0.0456190667789282,1840200000
Nikkei 225,^N225,2018-03,-0.028214353548875862,1732700000
Nikkei 225,^N225,2018-04,0.04616112249917808,1386000000
Nikkei 225,^N225,2018-05,-0.011911968822318026,1607600000
Nikkei 225,^N225,2018-06,0.004614608087088396,1513500000
Nikkei 225,^N225,2018-07,0.011111160596925873,1523800000
Nikkei 225,^N225,2018-08,0.013713884157961499,1515200000
Nikkei 225,^N225,2018-09,0.0534290569470319,1447600000
Nikkei 225,^N225,2018-10,-0.09562250133496045,1822800000
Nikkei 225,^N225,2018-11,0.01945328166617721,1534700000
Nikkei 225,^N225,2018-12,-0.11040329411868144,1529200000
Nikkei 225,^N225,2019-01,0.03720718829166485,1275600000
Nikkei 225,^N225,2019-02,0.02901956496866673,1276100000
Nikkei 225,^N225,2019-03,-0.008422004313161946,1396900000
Nikkei 225,^N225,2019-04,0.04845908574507173,1187800000
Nikkei 225,^N225,2019-05,-0.07738549769750208,1458100000
Nikkei 225,^N225,2019-06,0.032227098524146,1195400000
Nikkei 225,^N225,2019-07,0.011477883654111468,1168700000
